path,depth,type,files,bytes,classification,why_retained,associated_plan_row,plan_status,registry_keys,current_runtime_test_refs,prior_ledger,d12_cohort,d12_registry_key,license_status,exclusion_status,is_empty,in_stage2a_archive_plan,proposed_action
data/pallet/archive/packages/background_sources/parking_lot.zip,4,file,1,101186943,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,reports/data_pallet_cleanup/stage2c2/transactions/c2a_background_packages.jsonl,,,,EXCLUDED (archive/packages/background_sources),False,no,유지
data/pallet/archive/packages/corrupt,3,dir,1,4529431174,SEMANTIC_CONTAINER,Stage 2-A 뼈대 / D1~D2 가 채운 컨테이너,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/corrupt/train_palletobj_v1.zip,4,file,1,4529431174,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles,3,dir,14,80761480127,SEMANTIC_CONTAINER,semantic 하위 container (최종 구조),,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/pallet.zip,4,file,1,16637698137,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/test_blender_v64.zip,4,file,1,1781592200,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/test_blender_v65.zip,4,file,1,86723195,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/test_blender_v68.zip,4,file,1,906940260,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/test_blender_v69.zip,4,file,1,3653659280,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/test_blender_v70.zip,4,file,1,913350083,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/test_indoor_v1.zip,4,file,1,587372076,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/train_4pallet_mask_v1.zip,4,file,1,9675248635,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,EXCLUDED (archive/packages/dataset_bundles/train_4pallet_mask_v1.zip),False,no,유지
data/pallet/archive/packages/dataset_bundles/train_palletobj_addon_v1.zip,4,file,1,5648950621,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/train_palletobj_v1 (2).zip,4,file,1,8316876455,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/train_palletobj_v2 (2).zip,4,file,1,8321314846,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/train_palletobj_v2.zip,4,file,1,8346416419,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/train_palletobj_v3.zip,4,file,1,10449502513,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/packages/dataset_bundles/trunc_addon_v1.zip,4,file,1,5435835407,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs,2,dir,21321,5268927072,SEMANTIC_CONTAINER,Stage 2-A 뼈대 / D1~D2 가 채운 컨테이너,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_addon_pilot,3,dir,81,20886859,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_addon_pilot2,3,dir,33,8488781,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_addon_pilot2.log,3,file,1,3388,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_addon_pilot3,3,dir,17,4033900,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_addon_pilot3.log,3,file,1,2429,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_addon_pilot4,3,dir,50,13366774,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_addon_pilot4.log,3,file,1,4282,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_addon_pilot_gen.log,3,file,1,6167,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_cam_test10,3,dir,42,17418114,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_cam_test10b,3,dir,41,15745613,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_copy_and_zip_c.py,3,file,1,2597,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_copy_c.log,3,file,1,2559,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_diag_pallet3,3,dir,26,5862609,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_efront_12kp_check,3,dir,107,44909247,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,EXCLUDED (archive/superseded_runs/_efront_12kp_check),False,no,유지
data/pallet/archive/superseded_runs/_emptywood_test,3,dir,48,14951374,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_finalize_c_zip.py,3,file,1,3305,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_applied14,3,dir,16,8575358,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,EXCLUDED (archive/superseded_runs/_floor_applied14),False,no,유지
data/pallet/archive/superseded_runs/_floor_applied14_render.log,3,file,1,3511,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_catalog.png,3,file,1,999776,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_compare,3,dir,20,10247704,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,EXCLUDED (archive/superseded_runs/_floor_compare),False,no,유지
data/pallet/archive/superseded_runs/_floor_emit,3,dir,6,1539034,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_fix_test,3,dir,7,6180215,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_smoke10,3,dir,33,9620190,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_test10,3,dir,31,11968317,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_test10_render.log,3,file,1,5743,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_test10b,3,dir,33,16487621,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_test10b_std,3,dir,32,13123779,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_floor_uv_test,3,dir,17,16625340,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_make_split_zips.log,3,file,1,2580,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_make_split_zips.py,3,file,1,3319,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_make_zip_lowmem.log,3,file,1,2700,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_make_zip_lowmem.py,3,file,1,5575,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mask_poc,3,dir,1,66471,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mask_test10,3,dir,43,12354122,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mask_test10_gen.log,3,file,1,4372,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mask_test60_gen.log,3,file,1,14822,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10,3,dir,41,15915563,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10_gen.log,3,file,1,4245,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10b,3,dir,51,22847925,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10b_gen.log,3,file,1,4139,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10c,3,dir,44,19425013,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10d,3,dir,41,17311918,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10d_scene3,3,dir,25,9942873,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10e,3,dir,45,19972697,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10e_closeup.log,3,file,1,1387,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mat_test10e_gen.log,3,file,1,3760,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_material_compare,3,dir,44,20303689,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_material_compare_run.log,3,file,1,6918,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_mesh_proc_compare,3,dir,10,4316539,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_pallet_catalog_0123,3,dir,6,3936989,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,EXCLUDED (archive/superseded_runs/_pallet_catalog_0123),False,no,유지
data/pallet/archive/superseded_runs/_perm_v4_fix_check,3,dir,3,1566324,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_preview10,3,dir,43,16057584,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_procedural_textures,3,dir,22,11317364,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_ram_test.log,3,file,1,1337,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_ram_test.py,3,file,1,3405,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_read_stability_test.py,3,file,1,763,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_rebuild_part7.log,3,file,1,278,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_rebuild_part7_nocache.py,3,file,1,5136,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_rebuild_parts.log,3,file,1,303,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_rebuild_parts.py,3,file,1,2459,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_repack.log,3,file,1,3468,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_repack.py,3,file,1,1231,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_repack_retry.log,3,file,1,921,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_repack_retry.py,3,file,1,5211,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_stress_read.log,3,file,1,763,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_stress_read.py,3,file,1,1447,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_test_topview,3,dir,98,38020066,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_tmp_ph,3,dir,6,172936,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_trunc_addon_v1_10m_example,3,dir,3,474429,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_trunc_addon_v1_far_example,3,dir,4,1382207,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_b3_check,3,dir,36,8145589,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_calib_200,3,dir,1011,140986989,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_g5_reverify,3,dir,66,13346911,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_pilot_2k,3,dir,12147,2495296046,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_publicmask_overlay_smoke8,3,dir,96,19802025,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_scene_logic_500_seed7500,3,dir,4995,1698833273,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_scene_logic_probe_seed7500_f18_r19_log.console.txt,3,file,1,61048,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_scene_logic_probe_seed7500_idx02_prealign_r01.log,3,file,1,43564,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_scene_logic_smoke20_seed7500_r40.log,3,file,1,70874,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_scene_logic_smoke20_seed7500_r7_blender.log,3,file,1,206202,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_v2_smoke50_9d,3,dir,616,182120280,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_wood_closeup.log,3,file,1,2387,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/_wood_skin_compare,3,dir,50,28426531,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/eval_results,3,dir,103,11407963,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/logs,3,dir,49,823762,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/render_2000.log,3,file,1,1015899,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/rotation_debug,3,dir,4,1550217,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/runtime_pallet_debug,3,dir,4,1819819,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_canonical,3,dir,12,2099345,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_canonical_log.txt,3,file,1,605113,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_diagnose,3,dir,12,2494246,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_diagnose2,3,dir,12,2395363,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_diagnose3,3,dir,12,2402277,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_final_check,3,dir,24,4486280,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_fix_axis,3,dir,12,2631999,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_fix_scene,3,dir,12,3018383,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_indoor,3,dir,18,5662647,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_indoor_v1_log.txt,3,file,1,134534,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_iter2,3,dir,24,4524045,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_iter2_log.txt,3,file,1,594099,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
data/pallet/archive/superseded_runs/test_iter3,3,dir,60,11946459,MOVED_BY_LEDGER,Stage 2-D1/D1.1/D1.2 이동 결과 위치,,,,0,,D2_SUPERSEDED_RUNS,,,not excluded,False,no,유지
