proposal_index,accepted,reject_reason,pallet_type,scene_preset,exposure_ev,elev_bin,elevation_deg,azimuth_bin,azimuth_deg,v_target,proj_size_bin,proj_size_ratio,proj_size_feasible_lower,proj_size_bin_lo,proj_size_bin_hi,n_feasible_bins,bin_feasible,aspect,image_width,image_height,fx_mode,fx,f_target_bin,f_target,position_mode,cargo_on,camera_distance_spec_m,camera_distance_target_m,v_probe,trunc_mode,occluder
1533,1,,Pallet_3,random-mix,-1.7851097774729439,6,72.3584754706612,2,80.70760511468082,6,0,0.053143364743369406,0.045704544171432826,0.0,0.1,5,1,16:9,960,540,random,398.8760218597774,1,0.13617518100503886,near-pallet,1,8.600235305412289,8.600235305412289,8,lateral,
1534,1,,Pallet_1,outdoor-night,-0.3537001018518655,5,43.80465376803305,10,312.19506694815476,6,4,0.629876507476124,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,0,0.0,,1,1.6533428132568913,1.6533428132568913,6,diag,
1535,1,,Pallet_2,random-mix,-0.10048635558601493,2,9.683608631268555,9,299.8730839316479,4,0,0.09677638322949356,0.07663615255368668,0.0,0.1,5,1,16:9,960,540,random,668.8246041049019,2,0.24596077931124097,near-camera,0,7.9188899188300175,7.9188899188300175,6,lateral,Gigabyte_GA78LMTUSB3_50_Motherboard_Micro_ATX_Socket_AM3
1536,0,d_occ_fail,Pallet_3,indoor,-1.100074062190281,3,18.19685417028502,4,141.84142147900727,4,4,0.9829655649792723,0.07546700447578933,0.6,1.0,5,1,3:2,720,480,random,493.9658474778937,3,0.4374790692379589,near-pallet,0,0.7677482016105079,,,,
1537,1,,Pallet_2,outdoor-day,-0.04752243289000724,0,1.7119452863383526,5,161.3441797678402,4,3,0.4213062343546646,0.11539289650194892,0.4,0.6,4,1,4:3,640,480,random,671.3768523749754,0,0.0,,0,2.7389316153534224,2.7389316153534224,4,diag,
1538,0,v_below_min,Pallet_3,indoor,-0.022781973150702406,1,7.133606678410794,4,139.85245313138216,6,4,0.8346284139121993,0.06942678645833335,0.6,1.0,5,1,16:9,960,540,anchor,605.9065,3,0.4145732920234956,near-pallet,1,0.8318286952741686,,,,
1539,1,,Pallet_3,outdoor-day,-2.432779400408146,0,2.1241609229412437,4,130.6743155134736,6,1,0.16674976110866435,0.09256904861111113,0.1,0.2,5,1,3:2,720,480,anchor,605.9065,0,0.0,,1,5.551375186126203,5.551375186126203,6,lateral,
1540,1,,Pallet_0,outdoor-night,-2.4462575900192176,4,31.339129823600075,7,233.52253855322303,6,2,0.23416440151553108,0.07136111686015242,0.2,0.4,5,1,16:9,960,540,random,622.7879289613302,1,0.17767361073451668,near-pallet,1,3.0474793093355546,3.0474793093355546,6,lateral,
1541,1,,Pallet_1,indoor,-2.673834528007915,6,69.8595424534192,8,249.9616694897427,7,4,0.6547196142752995,0.071034507400275,0.6,1.0,5,1,4:3,640,480,random,413.2916794197819,3,0.38622808539710224,near-pallet,0,1.0849607351217387,1.0849607351217387,6,diag,chinese_screen_panels
1542,1,,Pallet_1,outdoor-night,-1.3632651442820847,0,1.1195062856031504,11,356.72337347550143,5,3,0.5192851556580583,0.06398016908061815,0.4,0.6,5,1,16:9,960,540,random,558.3723847035766,1,0.12163295011048005,near-pallet,1,1.2320816103348844,1.2320816103348844,6,vertical,
1543,1,,Pallet_0,indoor,-0.8956878397535792,2,8.760631199056146,2,82.06939500207751,6,2,0.35603586234187107,0.10414017968750003,0.2,0.4,4,1,4:3,640,480,anchor,605.9065,0,0.0,,0,2.924991291677888,2.924991291677888,5,diag,
1544,1,,Pallet_2,outdoor-day,-0.9031572614671242,2,14.186333745826003,3,110.41803367596071,4,4,0.6443604732018214,0.05598258608419386,0.6,1.0,5,1,3:2,720,480,random,366.4314725510871,2,0.31974491139582706,near-camera,1,0.8688085072322467,0.8688085072322467,4,lateral,
1545,1,,Pallet_3,random-mix,-1.64530426299328,3,17.53323004474675,8,250.56718163425654,5,1,0.12000613990504336,0.11675511105348761,0.1,0.2,4,1,4:3,640,480,random,679.3024643112005,0,0.0,,0,9.729094790139223,9.729094790139223,6,lateral,
1546,1,,Pallet_1,indoor,-0.3647001675026562,4,32.036620423459546,9,290.5527933129867,7,0,0.06295367261712495,0.03938879638223546,0.0,0.1,5,1,16:9,960,540,random,343.7567684267822,1,0.17801963371502288,near-camera,0,6.256790866164771,6.256790866164771,8,vertical,metal_tool_chest
1547,1,,Pallet_0,outdoor-day,-2.7578543131371296,1,3.5325521750345077,4,139.31408292653452,5,1,0.15947345666349944,0.11901734821428574,0.1,0.2,4,1,1:1,560,560,anchor,605.9065,0,0.0,,1,7.463144695321992,7.463144695321992,7,vertical,
1548,1,,Pallet_3,random-mix,-2.6107161861506287,1,4.098903423775963,6,197.3517363865251,6,3,0.473603913530473,0.07678035068360724,0.4,0.6,5,1,4:3,640,480,random,446.7220403409875,3,0.41154664602160024,near-pallet,1,1.6211933324462906,1.6211933324462906,6,lateral,Shelf_01
1549,1,,Pallet_2,outdoor-night,-2.724802923160679,2,13.397233522568424,1,53.17227535361397,6,2,0.20020435636418452,0.06011758048217113,0.2,0.4,5,1,4:3,640,480,random,349.7750137144502,2,0.2564373471920657,near-pallet,0,3.0028108066146877,3.0028108066146877,6,lateral,plastic_monobloc_chair_01
1550,1,,Pallet_1,indoor,-1.4039668052304517,5,48.323019620427345,0,12.058709060872221,8,0,0.09928583079571127,0.06942678645833335,0.0,0.1,5,1,16:9,960,540,anchor,605.9065,0,0.0,,0,6.992617768509652,6.992617768509652,8,none,
1551,1,,Pallet_3,outdoor-day,-1.4390935240407041,3,16.50771549834307,5,159.26278607282785,7,4,0.920922972984006,0.08266449851242606,0.6,1.0,5,1,4:3,640,480,random,480.9570822541152,3,0.36483603411345256,near-pallet,1,0.8976266304289677,0.8976266304289677,4,vertical,wooden_crate_01
1552,1,,Pallet_0,outdoor-day,-1.1112020729018375,2,11.002208508176448,10,329.7476347662072,5,0,0.09967172792637627,0.08767848179011523,0.0,0.1,5,1,3:2,720,480,random,573.8955171716633,1,0.12415575773514169,near-camera,1,8.796725371800518,8.796725371800518,7,vertical,
1553,1,,Pallet_2,outdoor-night,-0.6059897676228294,3,15.514318744683878,7,235.08576300076135,5,2,0.3239867617749853,0.10414017968750003,0.2,0.4,4,1,4:3,640,480,anchor,605.9065,0,0.0,,0,3.2143344103617193,3.2143344103617193,5,diag,
1554,1,,Pallet_0,outdoor-night,-2.1814821962160575,3,16.804667195713137,7,219.82151997371145,8,1,0.16251754837316335,0.13120484607944832,0.1,0.2,4,1,1:1,560,560,random,667.9519436771914,0,0.0,,0,8.073272541509386,8.073272541509386,8,none,
1555,1,,Pallet_3,indoor,-2.35039549637456,1,3.7519867932883537,9,288.0884145826048,4,3,0.485126714166855,0.0890944723942731,0.4,0.6,5,1,4:3,640,480,random,518.3678393848617,1,0.1583701109721589,near-pallet,1,1.8365196100833536,1.8365196100833536,4,lateral,steel_frame_shelves_02
1556,1,,Pallet_2,random-mix,-2.1313587939724914,5,59.33688181047822,6,209.31057837272797,7,4,0.6384061652918287,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,2,0.2888113295636686,near-camera,0,1.6312527251345603,1.6312527251345603,6,vertical,Tetris_Link_Game
1557,0,d_occ_fail,Pallet_1,outdoor-day,-0.657877850538275,1,4.83659932254197,0,16.750655756775,6,4,0.93071496260618,0.06643140789684049,0.6,1.0,5,1,16:9,960,540,random,579.7650143724261,3,0.432868701696845,near-camera,1,0.7137674859209294,,,,
1558,1,,Pallet_1,outdoor-day,-0.08471587556504634,1,5.5592806629792975,11,347.62685888136116,4,1,0.16952662769542493,0.04782651468917514,0.1,0.2,5,1,16:9,960,540,random,417.39503728734667,0,0.0,,1,2.8211800906640607,2.8211800906640607,8,lateral,
1559,1,,Pallet_1,random-mix,-1.1942086255005513,3,18.607073404940277,8,248.39802614104707,7,0,0.09969655279983716,0.09208737563511826,0.0,0.1,5,1,4:3,640,480,random,535.7810946043244,2,0.32257174549785544,near-pallet,1,9.236766272150252,9.236766272150252,8,diag,
1560,1,,Pallet_0,outdoor-day,-2.3521666329283453,1,5.373400087924845,4,134.37980199722685,4,3,0.4220581475471915,0.07848231783815124,0.4,0.6,5,1,16:9,960,540,random,684.9365920420471,1,0.19508377519849437,near-pallet,0,1.8595143416672437,1.8595143416672437,6,lateral,old_military_crate
1561,1,,Pallet_3,indoor,-2.5553299466690325,0,2.598227403002442,10,328.7478637343051,6,2,0.3041389267612319,0.11467350515158788,0.2,0.4,4,1,4:3,640,480,random,667.1913027001476,0,0.0,,1,3.7704317027992205,3.7704317027992205,6,lateral,
1562,0,d_occ_fail,Pallet_2,outdoor-night,-1.0243413268664732,5,59.685182008081654,0,12.087606151520724,5,4,0.9547490413056762,0.09256904861111113,0.6,1.0,5,1,3:2,720,480,anchor,605.9065,3,0.42940350515104075,near-camera,0,0.9695641954719058,,,,
1563,0,d_occ_fail,Pallet_2,outdoor-night,-2.8085807451594147,4,34.09671564674977,2,74.73878287743919,5,4,0.7589307678187095,0.09256904861111113,0.6,1.0,5,1,3:2,720,480,anchor,605.9065,3,0.44887978239205095,near-camera,0,1.2197298164254118,,,,
1564,1,,Pallet_2,outdoor-night,-2.901225297661008,4,25.822095239935138,5,176.9240458158677,6,4,0.6559070414010116,0.09256904861111113,0.6,1.0,5,1,3:2,720,480,anchor,605.9065,3,0.3501940510689875,near-camera,0,1.4113135363417424,1.4113135363417424,6,lateral,fire_hydrant
1565,1,,Pallet_1,indoor,-1.4189214530746421,3,22.79872993428328,0,17.305887711387115,5,0,0.09436494103972068,0.07856835146009658,0.0,0.1,5,1,3:2,720,480,random,514.2655731933594,0,0.0,,0,8.326010761456958,8.326010761456958,8,diag,
1566,1,,Pallet_3,outdoor-night,-2.756060647045964,1,3.5854997197632024,1,41.55331215319359,6,3,0.4178162886002841,0.06942678645833335,0.4,0.6,5,1,16:9,960,540,anchor,605.9065,2,0.29713872327583446,near-pallet,1,1.6616582060722977,1.6616582060722977,6,lateral,bollard_01
1567,1,,Pallet_0,random-mix,-2.9593889357118046,4,32.02263021720715,2,60.513919879265046,5,4,0.6483613508947806,0.08676534471547959,0.6,1.0,5,1,4:3,640,480,random,504.8165510718811,1,0.17951786285505447,near-camera,1,1.3382251208487024,1.3382251208487024,5,vertical,
1568,1,,Pallet_2,outdoor-day,-1.219595420558946,6,78.21215052511252,3,94.76196318381592,8,2,0.33055854853592437,0.09538826309049639,0.2,0.4,5,1,4:3,640,480,random,554.9862579810699,0,0.0,,0,2.88566922601095,2.88566922601095,8,none,
1569,1,,Pallet_2,outdoor-night,-1.6155861474275304,2,13.21723799696466,0,13.585097115597486,6,1,0.1705886450727976,0.07431173934851226,0.1,0.2,5,1,4:3,640,480,random,432.35921075498044,3,0.3506153977802157,near-pallet,0,4.356194945847668,4.356194945847668,6,vertical,traffic_barricade_01
1570,1,,Pallet_0,outdoor-day,-2.597548228876657,4,39.14615965956638,4,125.308381239442,8,1,0.18853571156304,0.11901734821428574,0.1,0.2,4,1,1:1,560,560,anchor,605.9065,1,0.1612202635359729,near-camera,1,6.312721724048037,6.312721724048037,8,none,
1571,1,,Pallet_1,indoor,-1.1045302315146202,0,1.6831163625828665,1,36.21618231654639,4,2,0.3198398333125591,0.03890920107897752,0.2,0.4,5,1,16:9,960,540,random,339.5712094165311,2,0.2890041790982701,near-pallet,1,1.2165214281159922,1.2165214281159922,6,diag,Winning_Moves_1180_Aggravation_Board_Game
1572,1,,Pallet_3,outdoor-day,-1.5420695358760923,3,15.812001516202601,10,317.0911010850098,5,4,0.9792410905290466,0.10976300960351772,0.6,1.0,4,1,4:3,640,480,random,638.6211467841031,3,0.4225158762168668,near-camera,0,1.1208987313248562,1.1208987313248562,4,lateral,portable_generator
1573,1,,Pallet_0,outdoor-night,-1.833072922082561,3,24.228845916084474,7,211.67249365178498,6,3,0.5311999466239763,0.07629126324969458,0.4,0.6,5,1,3:2,720,480,random,499.36099581618265,0,0.0,,0,1.4362061542844868,1.4362061542844868,6,lateral,
1574,1,,Pallet_1,random-mix,-0.7579958359586874,2,14.881928301641562,6,182.8529737239942,6,0,0.09534400423605069,0.06942678645833335,0.0,0.1,5,1,16:9,960,540,anchor,605.9065,0,0.0,,1,7.281714987179264,7.281714987179264,8,lateral,
1575,1,,Pallet_3,indoor,-0.5116369849427427,4,34.99244440879966,8,244.68065113427016,5,1,0.19308649308523326,0.11601839384534504,0.1,0.2,4,1,4:3,640,480,random,675.0161096456438,0,0.0,,1,6.008622974685836,6.008622974685836,5,vertical,
1576,1,,Pallet_2,outdoor-day,-2.2234043722628036,5,55.947128035222626,5,173.6352108706585,5,3,0.4070769044821991,0.10414017968750003,0.4,0.6,4,1,4:3,640,480,anchor,605.9065,2,0.22850318907890202,near-pallet,0,2.5582433820451222,2.5582433820451222,5,vertical,bollard_01
1577,1,,Pallet_2,outdoor-night,-0.4278564928874662,1,4.505194583215298,11,359.313511672723,7,2,0.2674245917224329,0.11479149102057162,0.2,0.4,4,1,1:1,560,560,random,584.3930451956373,1,0.16465595759205903,near-pallet,0,4.292480743121664,4.292480743121664,7,diag,concrete_road_barrier_02
1578,1,,Pallet_3,random-mix,-0.220441315114849,3,17.88961600758021,3,109.0995275492588,4,4,0.6984200426409214,0.0786012090926011,0.6,1.0,5,1,4:3,640,480,random,457.3161256296791,0,0.0,,1,1.1254145685079133,1.1254145685079133,4,lateral,
1579,1,,Pallet_0,indoor,-1.7365269856543033,3,18.75577776349865,2,74.95890803234046,6,0,0.09469277082707311,0.09256904861111113,0.0,0.1,5,1,3:2,720,480,anchor,605.9065,1,0.1955930283302611,near-pallet,1,9.77572498962563,9.77572498962563,6,lateral,
1580,1,,Pallet_1,outdoor-day,-2.5840686827183754,1,6.655129753733503,9,274.054412654649,6,0,0.09578562816973753,0.06248581332472572,0.0,0.1,5,1,16:9,960,540,random,545.3307344703335,3,0.40406139620609477,near-camera,0,6.523506137475795,6.523506137475795,8,diag,wine_barrel_01
1581,1,,Pallet_0,random-mix,-0.22301221330292487,0,2.4636022619735134,5,169.38087084310519,4,1,0.10059655043977317,0.06259721001328032,0.1,0.2,5,1,4:3,640,480,random,364.2019491681764,0,0.0,,1,6.222600053344479,6.222600053344479,8,lateral,
1582,0,C1,Pallet_2,outdoor-day,-2.867622510474663,2,11.12874479895308,8,244.10376757051435,8,4,0.9165239807509299,0.054449311672718124,0.6,1.0,5,1,16:9,960,540,random,475.19399278008535,0,0.0,,0,0.5940849646738813,,,,
1583,1,,Pallet_3,outdoor-day,-2.3200080764475013,0,1.4819116800608287,2,84.76192845760754,5,3,0.47960190244641904,0.10414017968750003,0.4,0.6,4,1,4:3,640,480,anchor,605.9065,0,0.0,,0,2.171387960645851,2.171387960645851,6,vertical,
1584,1,,Pallet_1,outdoor-night,-2.9549823475230683,4,29.066717076990642,7,224.76780015257305,7,2,0.3066246578353268,0.06664318152673594,0.2,0.4,5,1,16:9,960,540,random,581.6132205969682,2,0.32381972738071285,near-pallet,1,2.1734449537495046,2.1734449537495046,7,vertical,
1585,1,,Pallet_2,indoor,-2.1229896699983044,2,12.994608604547537,4,143.48632004432702,5,4,0.8986037836788374,0.09011519482857383,0.6,1.0,5,1,4:3,640,480,random,524.3065880935204,1,0.14874946517749432,near-camera,0,1.002835693164421,1.002835693164421,5,diag,wine_barrel_01
1586,1,,Pallet_3,random-mix,-0.4514372306976231,1,5.3351735072700155,8,264.9389107184063,6,4,0.6116687236063235,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,1,0.1852219572725983,near-pallet,0,1.7025585201332893,1.7025585201332893,6,lateral,utility_box_01
1587,1,,Pallet_0,outdoor-night,-1.7589371013979136,1,4.926650894327354,0,16.442708157277472,5,3,0.5502642136405487,0.10039974821913356,0.4,0.6,4,1,3:2,720,480,random,657.1619883434196,3,0.42529288750064187,near-camera,1,1.8245734636255682,1.8245734636255682,5,vertical,ammo_box
1588,1,,Pallet_2,outdoor-day,-2.7855278808398785,6,75.54041054997317,3,93.69045777038586,8,2,0.31798240475239037,0.05493842557650088,0.2,0.4,5,1,16:9,960,540,random,479.4626232130986,2,0.20021897939610964,near-pallet,0,1.727719042167785,1.727719042167785,8,none,old_military_compressor
1589,1,,Pallet_1,indoor,-1.6714475219973428,2,13.124664000914706,6,209.94361991934665,8,1,0.1886381949866033,0.07086645052408744,0.1,0.2,5,1,1:1,560,560,random,360.77465721353605,0,0.0,,1,3.7567392186465858,3.7567392186465858,8,none,
1590,1,,Pallet_0,outdoor-day,-1.1001320088185256,5,44.80015087463779,10,308.77232718562686,8,0,0.08623596004612259,0.07677590859658133,0.0,0.1,5,1,4:3,640,480,random,446.69619547101865,0,0.0,,0,8.903003869327641,8.903003869327641,8,none,
1591,1,,Pallet_1,outdoor-night,-0.7731891799340205,1,6.660760313119097,9,291.4348133079207,5,0,0.09347613916938075,0.06942678645833335,0.0,0.1,5,1,16:9,960,540,anchor,605.9065,0,0.0,,1,7.427220152142842,7.427220152142842,7,vertical,
1592,1,,Pallet_3,indoor,-1.4950657295860381,3,22.81595995990918,1,43.03491971838309,5,3,0.5073582974395427,0.06482392736075407,0.4,0.6,5,1,4:3,640,480,random,377.1573955534782,1,0.1124576228811242,near-pallet,1,1.2776755142844303,1.2776755142844303,4,diag,
1593,1,,Pallet_2,outdoor-day,-1.1127150858392159,5,44.87713029738649,11,349.1437912836326,7,1,0.12590743401315474,0.1131461313269074,0.1,0.2,4,1,4:3,640,480,random,658.3047640838248,2,0.3346866049244809,near-camera,0,8.986453596940587,8.986453596940587,8,vertical,metal_trash_can
1594,1,,Pallet_3,random-mix,-1.0438739643067112,5,47.88823484085288,8,261.0850319287831,6,2,0.3277972749888113,0.09256904861111113,0.2,0.4,5,1,3:2,720,480,anchor,605.9065,0,0.0,,0,2.8239724876990144,2.8239724876990144,7,vertical,
1595,0,d_occ_fail,Pallet_1,indoor,-2.24920123205304,1,5.818341016990762,9,294.4013271019149,4,4,0.6668917758030847,0.06957405321593116,0.6,1.0,5,1,4:3,640,480,random,404.7944914381449,3,0.4124480219813484,near-pallet,1,1.0432585276996207,,,,
1596,1,,Pallet_0,outdoor-night,-2.5155123885914312,6,73.96358717583917,5,175.43011844308916,7,4,0.7280135260797554,0.08883671517087417,0.6,1.0,5,1,4:3,640,480,random,516.868160994177,3,0.3931073477835984,near-pallet,1,1.2202618768533968,1.2202618768533968,6,lateral,
1597,1,,Pallet_1,indoor,-1.4831665539159111,2,10.79993569454272,11,344.3794105878736,6,3,0.5551523808577252,0.10414017968750003,0.4,0.6,4,1,4:3,640,480,anchor,605.9065,0,0.0,,0,1.875884590940611,1.875884590940611,5,lateral,
1598,1,,Pallet_2,random-mix,-0.6725209180068838,2,9.690525924808256,9,271.19847841022727,4,2,0.3754746234862547,0.07527163791138859,0.2,0.4,5,1,16:9,960,540,random,656.9161126812094,2,0.22359539112136625,near-camera,1,2.004706395667885,2.004706395667885,6,vertical,
1599,1,,Pallet_2,outdoor-day,-1.8943194136874695,4,28.947832027554284,3,106.84011594651349,5,1,0.18250386032699134,0.05888248225960117,0.1,0.2,5,1,16:9,960,540,random,513.8834815383374,1,0.12599639788284261,near-pallet,1,3.226369138389823,3.226369138389823,6,diag,
1600,0,d_occ_fail,Pallet_3,indoor,-1.339888924041157,2,8.520033097551645,0,13.07638528193191,6,4,0.9371096762166338,0.05450842663966721,0.6,1.0,5,1,3:2,720,480,random,356.78242891418535,1,0.14676286830808688,near-camera,0,0.5816653911816654,,,,
1601,1,,Pallet_1,indoor,-1.2363570414890357,6,65.54375244981557,4,149.17784524994264,7,0,0.09423600161418086,0.09256904861111113,0.0,0.1,5,1,3:2,720,480,anchor,605.9065,1,0.1290102069919072,near-pallet,0,9.823108687283387,9.823108687283387,8,vertical,chinese_screen_panels
1602,1,,Pallet_0,outdoor-night,-0.8545457140256709,2,11.750113049160005,0,24.836716179666027,6,4,0.8650205785569862,0.09529813134642724,0.6,1.0,5,1,4:3,640,480,random,554.4618551064857,0,0.0,,0,1.1016862917342625,1.1016862917342625,4,lateral,
1603,1,,Pallet_3,random-mix,-0.18582732483598985,1,5.308116235557775,10,301.3021235007323,4,2,0.21183902049140002,0.06185538789982863,0.2,0.4,5,1,1:1,560,560,random,314.90015658094575,3,0.3538642033336871,near-camera,1,2.91992418376669,2.91992418376669,8,vertical,Google_Cardboard_Original_package
1604,1,,Pallet_2,outdoor-night,-2.7611113546625017,4,28.240881789382186,6,200.51032491588657,6,1,0.19712415806222533,0.07831870879425606,0.1,0.2,5,1,4:3,640,480,random,455.67248753021704,1,0.10714026490289899,near-pallet,1,3.973064974082656,3.973064974082656,6,lateral,
1605,1,,Pallet_3,indoor,-2.8142522803412686,2,8.920173826542808,7,231.4669776117847,4,0,0.07180947311561986,0.04449132114924945,0.0,0.1,5,1,16:9,960,540,random,388.287893666177,2,0.23745537421093924,near-camera,0,6.195745382731653,6.195745382731653,8,lateral,UGG_Classic_Tall_Womens_Boots_Chestnut_7
1606,1,,Pallet_0,outdoor-day,0.1461908689190814,3,17.317681949872306,2,89.45678411360223,7,4,0.6063523274232568,0.07959939459062844,0.6,1.0,5,1,4:3,640,480,random,463.12375034547455,0,0.0,,0,1.3127581274222613,1.3127581274222613,6,vertical,
1607,1,,Pallet_1,outdoor-day,-2.8028058413483503,2,9.46786930629779,1,39.654665049256735,5,3,0.4879717377102268,0.10414017968750003,0.4,0.6,4,1,4:3,640,480,anchor,605.9065,0,0.0,,1,2.1341436734875368,2.1341436734875368,5,vertical,
1608,1,,Pallet_1,outdoor-night,-1.789235988084151,2,14.425570677128938,8,243.53200717112816,7,2,0.32387176917112737,0.11901734821428574,0.2,0.4,4,1,1:1,560,560,anchor,605.9065,3,0.3725157888199302,near-pallet,1,3.674829347395183,3.674829347395183,6,lateral,
1609,1,,Pallet_3,indoor,-1.532714677326805,3,16.550073404560298,4,145.40144704866765,5,3,0.41464205153744904,0.0913590251257613,0.4,0.6,5,1,4:3,640,480,random,531.5434189135203,1,0.16516265645353012,near-pallet,0,2.20332271623227,2.20332271623227,6,diag,water_dispenser_01
1610,1,,Pallet_2,random-mix,-0.1510562196906955,2,14.656942017863264,10,304.125192445549,6,1,0.15501885498500648,0.09180080686658224,0.1,0.2,5,1,4:3,640,480,random,534.1137854055694,0,0.0,,1,5.921912329662174,5.921912329662174,6,lateral,
1611,1,,Pallet_0,outdoor-day,-1.8226881813584785,3,24.330329869937913,0,19.281010590790217,8,4,0.6673290584812932,0.07937630445218179,0.6,1.0,5,1,16:9,960,540,random,692.7386570372229,2,0.24649524789119723,near-camera,0,1.1894627312172843,1.1894627312172843,4,none,utility_box_01
1612,1,,Pallet_2,outdoor-night,-1.819673316581077,1,3.778485304990644,2,61.233080725395496,5,0,0.09994086615111412,0.0993801390097714,0.0,0.1,5,1,4:3,640,480,random,578.2117178750335,1,0.1261186387155161,near-pallet,1,9.94389410829251,9.94389410829251,6,diag,
1613,1,,Pallet_3,outdoor-day,-0.17230035163755097,4,28.14609467606406,3,96.80503993624926,7,2,0.20984827393281175,0.09256904861111113,0.2,0.4,5,1,3:2,720,480,anchor,605.9065,0,0.0,,0,4.411237075066411,4.411237075066411,8,vertical,
1614,1,,Pallet_1,indoor,-1.9444224946107234,5,56.96286350305238,9,297.8897368522546,7,3,0.4591583763507957,0.10967172099305862,0.4,0.6,4,1,4:3,640,480,random,638.0900130505229,2,0.2985038040648458,near-camera,0,2.3885379564385807,2.3885379564385807,6,diag,plastic_crate_03
1615,1,,Pallet_0,random-mix,-1.535053771273228,1,4.14698343187531,6,196.06691367388677,6,1,0.18907451934675762,0.05777255653411017,0.1,0.2,5,1,16:9,960,540,random,504.19685702496145,0,0.0,,1,3.055544276072274,3.055544276072274,6,lateral,
1616,1,,Pallet_0,outdoor-night,-2.47181279407652,3,21.223486271255034,1,47.53112416903848,6,0,0.09906584652515857,0.050781331248476926,0.0,0.1,5,1,3:2,720,480,random,332.3868954445762,0,0.0,,1,5.126018000116781,5.126018000116781,8,lateral,
1617,1,,Pallet_3,outdoor-day,-2.6017836899329705,4,36.488481484593656,5,177.12987248036683,7,4,0.7537607522958973,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,3,0.416652123439174,near-pallet,0,1.3816078824785853,1.3816078824785853,5,vertical,concrete_road_barrier
1618,1,,Pallet_1,indoor,-0.699573537818019,0,1.324764884285547,7,222.25254888150118,4,2,0.21218820339547742,0.08228661025851762,0.2,0.4,5,1,4:3,640,480,random,478.7584596859206,0,0.0,,0,3.878001177339318,3.878001177339318,6,lateral,
1619,1,,Pallet_2,random-mix,-1.6625132369771443,0,1.0337439906008459,11,358.2186782091842,6,4,0.6242009523564898,0.06540508064955487,0.6,1.0,5,1,16:9,960,540,random,570.8079765779335,1,0.1255245905044989,near-pallet,1,1.047820904512192,1.047820904512192,4,vertical,
1620,1,,Pallet_1,outdoor-day,-0.750970899406457,1,3.46467120848623,6,191.04784313949577,4,1,0.15921622466641516,0.10414017968750003,0.1,0.2,4,1,4:3,640,480,anchor,605.9065,1,0.12401287885217738,near-camera,1,6.540801975784269,6.540801975784269,4,lateral,
1621,1,,Pallet_0,indoor,-2.6489900924978893,2,14.44038977846657,2,89.35097535810452,6,3,0.4013086748691344,0.061159571716510694,0.4,0.6,5,1,16:9,960,540,random,533.7562622531842,2,0.3394840871737266,near-camera,0,1.5240032310902487,1.5240032310902487,6,lateral,plastic_crate_03
1622,1,,Pallet_3,outdoor-night,-0.3366116656621845,4,26.983146192462957,1,46.087602650136276,8,3,0.5276851281545157,0.10257317522677045,0.4,0.6,4,1,1:1,560,560,random,522.1907102453769,0,0.0,,0,1.943832974514589,1.943832974514589,8,none,
1623,1,,Pallet_2,outdoor-day,-0.18845054751963808,2,13.535484697559504,0,6.936327970548951,4,1,0.15877580167354005,0.10414017968750003,0.1,0.2,4,1,4:3,640,480,anchor,605.9065,2,0.21686493819852312,near-pallet,1,6.5589452920302875,6.5589452920302875,4,lateral,
1624,1,,Pallet_0,indoor,-2.194677399515641,3,23.56752838106299,7,230.90268174176748,5,4,0.7339112244804947,0.06685601695868894,0.6,1.0,5,1,16:9,960,540,random,583.4706934576488,1,0.1693178005706068,near-pallet,0,0.9109550955023686,0.9109550955023686,4,vertical,metal_tool_chest
1625,1,,Pallet_2,random-mix,-2.6536820828483174,5,58.48562452651629,10,308.39833582710423,5,0,0.09551690166078541,0.0944523718119981,0.0,0.1,5,1,4:3,640,480,random,549.5410723607162,0,0.0,,1,9.888550630278205,9.888550630278205,4,diag,
1626,1,,Pallet_3,outdoor-day,-2.7468273268487335,3,24.58835289399112,5,153.32437155946386,6,2,0.2633690519093257,0.07777225998621698,0.2,0.4,5,1,3:2,720,480,random,509.05479263705655,0,0.0,,1,2.952976419302025,2.952976419302025,6,diag,
1627,0,d_occ_fail,Pallet_1,outdoor-night,-0.6693887287229665,1,5.8363696042862125,4,126.65230511388775,4,4,0.8316192527789917,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,3,0.4181997788388188,near-camera,0,1.2522579213924951,,,,
1628,1,,Pallet_1,outdoor-night,-1.4142425678569122,3,15.606091656608598,4,131.71520814186357,7,1,0.19252102552771988,0.10414017968750003,0.1,0.2,4,1,4:3,640,480,anchor,605.9065,3,0.396527632440522,near-pallet,0,5.409288642736091,5.409288642736091,8,lateral,propane_tank
1629,1,,Pallet_3,outdoor-night,-2.0547500742234184,1,6.714786683016849,3,91.61689424336807,4,0,0.068201568479586,0.06111861503269669,0.0,0.1,5,1,3:2,720,480,random,400.049116577651,0,0.0,,1,8.96146766052611,8.96146766052611,8,diag,
